"","C14ID","Period","C14Age","C14SD","LabCode","PhaseCode","SiteID","Material","MaterialSpecies","Latitude","Longitude","optional"
"1",1000,"LN",5397,25,"KIA-27198","HENE1","S2220","charcoal","NULL",49.16,9.2,TRUE
"2",1006,"EN",6850,65,"Ly-7607","PORH","S3350","NULL","NULL",43.31,3.35,TRUE
"3",1008,"EN",6745,70,"Ly-245 (OxA)","PORH","S3350","NULL","NULL",43.31,3.35,TRUE
"5",1013,"EN",6515,65,"OxA-6704","NULL","S1953","human bone","Homo sapiens",47.34,-2.87,TRUE
"10",1020,"EN",6200,190,"Ly-1735","MV","S2973","bone","NULL",49.41,4.014,TRUE
"11",1022,"EN",6110,140,"Ly-2324","MV","S2973","bone","NULL",49.41,4.014,TRUE
"13",1025,"EN",6030,130,"Ly-2327","BBM1","S1285","bone","NULL",49.41,3.91,TRUE
"16",1029,"EN",5940,140,"Ly-865","REI1","S3450","tar","NULL",48.65,7.75,TRUE
"17",1031,"EN",5860,190,"Ly-2323","MV","S2973","bone","NULL",49.41,4.014,TRUE
"20",1036,"MN",5530,150,"Ly-2455","COUR","S1216","NULL","NULL",48.53,3.54,TRUE
"21",1037,"MN",5490,140,"Ly-335","GT2","S2567","charcoal","NULL",47.4333,6.45,TRUE
"22",1039,"EN",5320,120,"GIF-5165","MNTD1","S3023","NULL","NULL",47.65,6.83,TRUE
"23",1041,"MN",5260,55,"Ly-8252","VTOL","S4154","NULL","NULL",43.53,1.34,TRUE
"24",1042,"MN",5175,135,"GIF-2342","VITTX1","S4162","charcoal","NULL",47.38,4.52,TRUE
"25",1043,"EMN",5140,140,"GIF-2634","ORLA1","S3162","charcoal","NULL",47.46,7.24,TRUE
"27",1045,"MN",5060,45,"Ly-8253","VTOL","S4154","NULL","NULL",43.53,1.34,TRUE
"29",1047,"MN",4880,135,"GIF-2341","VITTX1","S4162","charcoal","NULL",47.38,4.52,TRUE
"31",1049,"MN",4700,135,"GIF-2343","VITTX1","S4162","charcoal","NULL",47.38,4.52,TRUE
"33",1051,"LN",4500,60,"GrN-4675","VID2","S4143","charcoal","NULL",48.47,2.43,TRUE
"34",1052,"LN",4500,50,"GrN-4676","VID2","S4143","charcoal","NULL",48.47,2.43,TRUE
"35",1053,"LN",4360,130,"Ly-794","CHRV2","S1529","charcoal","NULL",45.43,5.52,TRUE
"36",1054,"LN",4230,130,"Ly-907","CHRV2","S1529","charcoal","NULL",45.43,5.52,TRUE
"37",1055,"LN",4190,150,"Ly-792","CHRV2","S1529","charcoal","NULL",45.43,5.52,TRUE
"40",1058,"LN",4150,180,"Ly-20","SAML","S3626","wood","NULL",45.54,5.8,TRUE
"41",1059,"LN",4100,120,"Ly-906","CHRV2","S1529","charcoal","NULL",45.43,5.52,TRUE
"42",1060,"LN",4070,140,"Ly-851","CLAX1","S1557","wood","NULL",46.5708,5.7505,TRUE
"43",1061,"LN",4060,120,"Ly-190","AIXLB1","S1045","wood","NULL",45.72,5.88,TRUE
"45",1063,"LN",3880,110,"GIF-2299","CLAX2","S1557","NULL","NULL",46.5708,5.7505,TRUE
"46",1064,"LN",3750,150,"GSY-114","MSO1","S2976","charcoal","NULL",48.93,4.03,TRUE
"47",1065,"LN",3750,120,"GIF-1528","OUXSS1","S3232","bone","NULL",46.7,4.93,TRUE
"52",1075,"EN",6580,20,"Hd-14219","SFX","S3698","human bone","Homo sapiens",49.92,10.13,TRUE
"53",1076,"EN",6558,75,"Bln-1429","ES","S1798","charcoal","NULL",52.14,11.22,TRUE
"54",1077,"EN",6550,270,"KN-2127","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"56",1079,"EN",6530,180,"H-1534/1027","GN","S2052","charcoal","NULL",51.53,9.92,TRUE
"57",1080,"EN",6510,120,"KN-3046","SFX","S3698","charcoal","NULL",49.92,10.13,TRUE
"58",1081,"EN",6460,80,"UtC-2344","EG","S1835","food residue","NULL",48.82,10.57,TRUE
"59",1082,"EN",6422,100,"H-919/889","DUDE1","S1754","charcoal","NULL",51.51,10.25,TRUE
"60",1083,"EN",6412,80,"H-924b/1121","MUE","S3064","charcoal","NULL",50.75,6.66,TRUE
"61",1084,"EN",6390,160,"KN-2295","GERL1","S2003","charcoal","NULL",48.8,9.06,TRUE
"62",1085,"EN",6380,80,"OxA-1539","SFX","S3698","plant macrofossils","Triticum sp.",49.92,10.13,TRUE
"63",1086,"EN",6350,80,"UtC-2340","SFX","S3698","food residue","NULL",49.92,10.13,TRUE
"64",1087,"EN",6350,70,"Hv-586","RF","S3534","charcoal","NULL",51.5056,9.90371,TRUE
"65",1088,"EN",6340,70,"UtC-1833","ET2","S1803","organic temper","NULL",52.14,10.82,TRUE
"66",1089,"EN",6332,75,"H-2117/1536","RODN2","S3524","charcoal","NULL",50.96,6.55,TRUE
"67",1090,"EN",6320,90,"UtC-2325","EG","S1835","food residue","NULL",48.82,10.57,TRUE
"68",1091,"EN",6320,70,"KN-1369","KOLN1","S2421","charcoal","NULL",50.97,6.85,TRUE
"69",1093,"EN",6280,185,"KN-2285","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"70",1094,"EN",6250,70,"KN-2128","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"71",1095,"EN",6250,65,"GrN-7011","ZILG1","S4281","charcoal","NULL",50.16,10.96,TRUE
"72",1096,"EN",6232,90,"H-924a/1393","MUE","S3064","charcoal","NULL",50.75,6.66,TRUE
"73",1097,"EN",6230,90,"ETH-9548","ROTG1","S3546","bone","NULL",48.48,8.95,TRUE
"74",1098,"EN",6230,70,"UtC-7179","FRIM1","S1964","organic temper","Bromus sp.",51.0561,6.57635,TRUE
"75",1099,"EN",6225,45,"GrN-7010","ZILG1","S4281","charcoal","NULL",50.16,10.96,TRUE
"76",1100,"EN",6220,45,"Hd-7978","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"77",1101,"EN",6210,60,"KN-2124","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"78",1102,"EN",6210,50,"KN-I.6","MUE","S3064","charcoal","NULL",50.75,6.66,TRUE
"79",1103,"EN",6210,45,"Hd-7979","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"80",1106,"EN",6190,100,"KN-2284","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"81",1107,"EN",6190,90,"KN-2371","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"82",1108,"EN",6190,90,"OxA-1627","ES","S1798","bone","NULL",52.14,11.22,TRUE
"83",1109,"EN",6190,80,"OxA-1538","WA","S4191","plant macrofossils","Cereals",48.49,11.93,TRUE
"84",1110,"EN",6190,65,"KN-1530","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"85",1111,"EN",6190,60,"UtC-7222","FRIM1","S1964","organic temper","NULL",51.0561,6.57635,TRUE
"86",1112,"EN",6190,45,"Hd-7995","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"87",1113,"EN",6180,120,"KN-2286","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"88",1114,"EN",6180,70,"UtC-7180","FRIM1","S1964","organic temper","NULL",51.0561,6.57635,TRUE
"89",1115,"EN",6180,50,"KN-1594","NM","S3119","charcoal","NULL",50.884,6.266,TRUE
"90",1116,"EN",6170,90,"OxA-1537","WA","S4191","plant macrofossils","Cereals",48.49,11.93,TRUE
"91",1117,"EN",6155,45,"GrN-7156","HM1","S2230","NULL","NULL",48.86,11.76,TRUE
"92",1118,"EN",6140,100,"Hd-7950","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"93",1119,"EN",6140,90,"OxA-1624","ES","S1798","bone","NULL",52.14,11.22,TRUE
"94",1120,"EN",6135,90,"Hd-7980","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"95",1121,"EN",6130,45,"Hd-7977","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"96",1122,"EN",6125,35,"GrN-5870","HM1","S2230","charred plant macrofossils","NULL",48.86,11.76,TRUE
"97",1123,"EN",6100,70,"Hd-8031","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"98",1124,"EN",6100,60,"Hd-7993","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"99",1125,"EN",6090,50,"Hd-7918","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"100",1126,"EN",6070,100,"OxA-1626","ES","S1798","bone","NULL",52.14,11.22,TRUE
"101",1127,"EN",6070,95,"KN-1531","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"102",1128,"EN",6070,40,"Hd-8152","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"103",1129,"EN",6060,70,"ETH-9549","ROTG1","S3546","bone","NULL",48.48,8.95,TRUE
"104",1130,"EN",6050,60,"Hd-7994","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"105",1131,"EN",6040,60,"Bln-2522","ES","S1798","charcoal","NULL",52.14,11.22,TRUE
"106",1132,"EN",6040,60,"Hd-8087","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"107",1133,"EN",6040,50,"Hd-7920","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"108",1134,"EN",6030,110,"Gro-265","WITTL1","S4239","charcoal","NULL",48.61,10.41,TRUE
"109",1135,"EN",6030,100,"OxA-1625","ES","S1798","bone","NULL",52.14,11.22,TRUE
"110",1136,"EN",6030,70,"UtC-1831","ET2","S1803","organic temper","NULL",52.14,10.82,TRUE
"111",1137,"EN",6010,50,"Hd-7963","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"112",1138,"EN",6000,55,"Hd-8096","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"113",1139,"EN",5990,60,"Hd-8097","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"114",1140,"EN",5990,40,"Hd-7949","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"115",1141,"EN",5970,70,"Hd-8099","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"116",1142,"MN",5969,59,"Erl-4092","ELB1","S1816","bone","NULL",52.23,11.62,TRUE
"117",1143,"EN",5962,230,"H-1748/1207","BOC1","S1322","charcoal","NULL",51.47,7.24,TRUE
"118",1144,"EN",5950,60,"Hd-7974","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"119",1145,"MN",5930,65,"KN-2992","TITZ1","S2192","charcoal","NULL",50.98,6.39,TRUE
"120",1146,"EN",5920,70,"UtC-2326","ET2","S1803","organic substance","NULL",52.14,10.82,TRUE
"121",1147,"EN",5910,50,"GrN-4830","HM1","S2230","charcoal","NULL",48.86,11.76,TRUE
"122",1148,"EN",5910,50,"Hd-7935","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"123",1149,"EN",5903,60,"Bln-1431","ES","S1798","charcoal","NULL",52.14,11.22,TRUE
"124",1151,"MN",5870,70,"Bln-2060","ES3","S1798","charcoal","NULL",52.14,11.22,TRUE
"125",1152,"MN",5870,60,"KN-2651","IND3","S2296","charcoal","NULL",50.85,6.35,TRUE
"126",1153,"MN",5850,150,"KN-2993","TITZ1","S2192","plant macrofossils","Cereals",50.98,6.39,TRUE
"127",1154,"MN",5840,140,"KN-2994","TITZ1","S2192","NULL","NULL",50.98,6.39,TRUE
"128",1155,"EN",5840,55,"KN-2130","KSTR","S2364","NULL","NULL",51,6.54,TRUE
"129",1156,"MN",5840,45,"KN-1190","IND1","S2295","charcoal","NULL",50.85,6.35,TRUE
"130",1157,"EN",5830,130,"KN-2125","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"131",1158,"MN",5830,75,"KN-2650","IND3","S2296","charcoal","NULL",50.85,6.35,TRUE
"132",1159,"MN",5830,65,"KN-2653","IND3","S2296","charcoal","NULL",50.85,6.35,TRUE
"133",1160,"MN",5830,60,"KN-2995","TITZ1","S2192","plant macrofossils","Cereals",50.98,6.39,TRUE
"134",1161,"MN",5820,120,"KI-583","DEIR1","S1683","NULL","NULL",51.53,8.09,TRUE
"135",1162,"MN",5820,60,"KN-2652","IND3","S2296","charcoal","NULL",50.85,6.35,TRUE
"136",1163,"MN",5820,55,"KN-I.489","ALD4","S1057","charcoal","NULL",50.8949,6.28712,TRUE
"137",1164,"EN",5820,45,"Hd-14394","SFX","S3698","animal bone","Bos sp.",49.92,10.13,TRUE
"138",1165,"EN",5805,65,"GrN-7116","KSTR","S2364","NULL","NULL",51,6.54,TRUE
"139",1166,"MN",5800,95,"KN-1527","IND1","S2295","charcoal","NULL",50.85,6.35,TRUE
"141",1168,"MN",5790,50,"KN-1330","IND1","S2295","charcoal","NULL",50.85,6.35,TRUE
"142",1169,"EN",5785,45,"Hd-14177","SFX","S3698","animal bone","Bos sp.",49.92,10.13,TRUE
"143",1170,"MN",5780,85,"GrN-4832","HM2","S2230","charcoal","NULL",48.86,11.76,TRUE
"144",1171,"EN",5770,65,"KN-2040","KSTR","S2364","NULL","NULL",51,6.54,TRUE
"145",1172,"MN",5750,75,"KN-2112","SCH","S3690","charcoal","NULL",49.8226,10.126,TRUE
"146",1173,"MN",5735,50,"Hd-14272","SFX1","S3698","animal bone","Equus sp.",49.92,10.13,TRUE
"147",1174,"MN",5730,105,"KN-2360","SCH","S3690","charcoal","NULL",49.8226,10.126,TRUE
"148",1175,"MN",5720,65,"KN-2401","SCH","S3690","charcoal","NULL",49.8226,10.126,TRUE
"149",1176,"MN",5700,50,"Bln-4262","FL","S1912","bone","NULL",53.02,14.16,TRUE
"150",1177,"EN",5690,60,"KN-2273","SISU","S3769","charcoal","NULL",54.267,11.05,TRUE
"151",1178,"MN",5685,95,"GrN-6347","KRL1","S2360","charcoal","NULL",50.38,7.49,TRUE
"152",1179,"EN",5685,75,"GrN-5604","RF","S3534","NULL","NULL",51.5056,9.90371,TRUE
"153",1180,"EN",5670,65,"KN-2129","KSTR","S2364","NULL","NULL",51,6.54,TRUE
"154",1181,"EN",5670,60,"Bln-3686","UHYS1","S4068","charcoal","NULL",51.36,14.52,TRUE
"155",1182,"MN",5660,50,"KN-2363","SCH","S3690","charcoal","NULL",49.8226,10.126,TRUE
"156",1183,"MN",5660,40,"KN-I.568","SCLM1","S3697","charcoal","NULL",50.35,8.75,TRUE
"157",1184,"MN",5630,145,"KN-2649","IND3","S2296","charcoal","NULL",50.85,6.35,TRUE
"158",1185,"LN",5625,105,"GrN-7632","OSTW1","S3216","charcoal","NULL",52.02,7.21,TRUE
"160",1187,"MN",5620,120,"KN-I.379","HOLZ2","S2250","charcoal","NULL",52.89,8.37,TRUE
"161",1188,"MN",5615,95,"Hv-1793","DUMM1","S1757","food residue","NULL",52.51,8.33,TRUE
"162",1189,"LN",5605,205,"Hv-17487","KIES","S3143","charcoal","NULL",51.72,9.96,TRUE
"164",1191,"MN",5565,85,"Hv-814","DUMM1","S1757","wood","NULL",52.51,8.33,TRUE
"165",1192,"MN",5560,265,"KN-I.142","DUMM1","S1757","wood","NULL",52.51,8.33,TRUE
"169",1196,"MN",5540,115,"KN-I.364","ALD4","S1057","charcoal","NULL",50.8949,6.28712,TRUE
"171",1198,"EN",5520,100,"Bln-4221","PRNZ1","S3378","bone","NULL",53.31,13.86,TRUE
"172",1199,"LN",5505,125,"Hv-19715","EINB1","S1801","charcoal","NULL",51.82,9.86,TRUE
"173",1200,"LN",5500,60,"KN-I.413","HENE1","S2220","charcoal","NULL",49.16,9.2,TRUE
"174",1201,"LN",5540,95,"KN-I.664","BERG1","S1274","charcoal","NULL",50.95,6.62,TRUE
"175",1202,"LN",5480,105,"KN-1574","MAYD","S2957","charcoal","NULL",50.32,7.22,TRUE
"176",1203,"MN",5480,65,"KN-I.726","SCH","S3690","charcoal","NULL",49.8226,10.126,TRUE
"177",1204,"MN",5470,85,"KN-2361","SCH","S3690","charcoal","NULL",49.8226,10.126,TRUE
"178",1205,"LN",5470,65,"KN-1718","MAYD","S2957","charcoal","NULL",50.32,7.22,TRUE
"180",1207,"MN",5450,50,"KN-I.727","SCH","S3690","charcoal","NULL",49.8226,10.126,TRUE
"181",1208,"LN",5490,85,"KN-I.663","BERG1","S1274","charcoal","NULL",50.95,6.62,TRUE
"182",1209,"MN",5430,80,"Hv-317","DUMM1","S1757","wood","NULL",52.51,8.33,TRUE
"183",1210,"MN",5425,350,"Hv-816","DUMM1","S1757","charcoal","NULL",52.51,8.33,TRUE
"184",1211,"MN",5420,50,"Hv-374","DUMM1","S1757","charcoal","NULL",52.51,8.33,TRUE
"186",1213,"LN",5400,60,"KN-1720","LUW","S2861","charcoal","NULL",48.9,9.21,TRUE
"188",1215,"LN",5370,70,"KN-I.415","HENE1","S2220","charcoal","NULL",49.16,9.2,TRUE
"190",1217,"LN",5350,185,"Hv-18876","EINB1","S1801","charcoal","NULL",51.82,9.86,TRUE
"191",1218,"LN",5350,140,"KN-1719","MAYD","S2957","charcoal","NULL",50.32,7.22,TRUE
"192",1219,"MN",5350,105,"KN-2113","SCH","S3690","charcoal","NULL",49.8226,10.126,TRUE
"193",1220,"LN",5340,125,"KN-2274","IF1","S2292","charcoal","NULL",49.05,9.24,TRUE
"194",1221,"LN",5335,125,"Fra-67","SCHW1","S3699","wood","NULL",49.1634,7.8746,TRUE
"197",1224,"LN",5310,120,"KN-2275","IF1","S2292","charcoal","NULL",49.05,9.24,TRUE
"198",1226,"LN",5280,140,"KN-2276","IF1","S2292","charcoal","NULL",49.05,9.24,TRUE
"200",1228,"LN",5280,90,"Hv-18875","EINB1","S1801","charcoal","NULL",51.82,9.86,TRUE
"201",1229,"LN",5280,90,"KN-1715","MAYD","S2957","charcoal","NULL",50.32,7.22,TRUE
"202",1230,"LN",5280,85,"KN-1573","MAYD","S2957","charcoal","NULL",50.32,7.22,TRUE
"203",1231,"LN",5270,65,"KN-2406","MAYD","S2957","charcoal","NULL",50.32,7.22,TRUE
"204",1232,"LN",5270,40,"KN-I.418","HENE1","S2220","charcoal","NULL",49.16,9.2,TRUE
"205",1233,"LN",5255,220,"Hv-19718","EINB1","S1801","charcoal","NULL",51.82,9.86,TRUE
"206",1234,"MN",5250,240,"Hv-1231","DUMM1","S1757","food residue","NULL",52.51,8.33,TRUE
"207",1235,"MN",5250,65,"KN-I.31","DUMM1","S1757","wood","NULL",52.51,8.33,TRUE
"208",1236,"LN",5250,60,"KN-1722","LUW","S2861","charcoal","NULL",48.9,9.21,TRUE
"209",1237,"EN",5250,55,"KN-2425","SISU","S3769","wood","NULL",54.267,11.05,TRUE
"210",1238,"LN",5230,90,"KN-I.585","HOIN1","S2247","charcoal","NULL",51.48,7.97,TRUE
"211",1239,"LN",5218,160,"Hd-17526","RANSD","S5149","charcoal","Corylus avellana, Pomoideae, Quercus sp., Fraxinus excelsior, Ulmus sp.",50.3636,8.95833,TRUE
"212",1241,"LN",5195,65,"GrN-7633","OSTW1","S3216","charcoal","NULL",52.02,7.21,TRUE
"213",1242,"LN",5190,120,"KI-2863","BURG","S1400","charcoal","NULL",49.71,9.27,TRUE
"214",1244,"EN",5180,65,"KN-2267","SISU","S3769","charcoal","NULL",54.267,11.05,TRUE
"216",1246,"MN",5175,155,"Hv-1230","DUMM1","S1757","charred food residue","NULL",52.51,8.33,TRUE
"217",1247,"MN",5170,90,"Hv-1220","DUMM1","S1757","wood","NULL",52.51,8.33,TRUE
"218",1248,"EN",5170,70,"KN-2271","SISU","S3769","charcoal","NULL",54.267,11.05,TRUE
"219",1249,"EN",5150,60,"KN-2111","SISU","S3769","wood","NULL",54.267,11.05,TRUE
"220",1250,"MN",5140,190,"KN-2114","SCH","S3690","charcoal","NULL",49.8226,10.126,TRUE
"221",1251,"LN",5129,35,"Hd-19407","WULF1","S4243","bone","NULL",51.81,11.92,TRUE
"222",1252,"LN",5105,85,"Hv-19716","EINB1","S1801","charcoal","NULL",51.82,9.86,TRUE
"223",1254,"LN",5105,45,"KN-4586","ORN1","S3163","animal bone","Bos primigenius",51.64,8.66,TRUE
"224",1255,"LN",5090,60,"KN-1716","MAYD","S2957","charcoal","NULL",50.32,7.22,TRUE
"225",1256,"LN",5080,50,"KN-I.419","HENE1","S2220","charcoal","NULL",49.16,9.2,TRUE
"226",1257,"EN",5070,80,"KN-2268","SISU","S3769","charcoal","NULL",54.267,11.05,TRUE
"227",1258,"EN",5060,65,"KN-2269","SISU","S3769","charcoal","NULL",54.267,11.05,TRUE
"229",1260,"LN",5050,85,"KN-1724","LUW","S2861","charcoal","NULL",48.9,9.21,TRUE
"230",1261,"LN",5050,50,"KN-3137","RES","S3464","charcoal","NULL",47.9132,9.67845,TRUE
"232",1265,"LN",5030,120,"KI-2864","BURG","S1400","charcoal","NULL",49.71,9.27,TRUE
"234",1267,"LN",5030,70,"UtC-3324","BKL","S1356","animal bone","Bos sp.",51.71,9.18,TRUE
"235",1268,"LN",5027,39,"Hd-17524","RANSD","S5149","charcoal","Pomoideae, Quercus sp., Salix sp., Acer sp., Corylus avellana, Fraxinus sp.",50.3636,8.95833,TRUE
"236",1269,"LN",5018,40,"Hd-16266","CAL","S1431","charcoal","Quercus sp.",51.4,9.4,TRUE
"237",1270,"LN",5010,130,"KN-1717","MAYD","S2957","charcoal","NULL",50.32,7.22,TRUE
"238",1271,"LN",4992,56,"Hd-16119","CAL","S1431","charcoal","Quercus sp.",51.4,9.4,TRUE
"239",1272,"EN",4990,75,"KN-2272","SISU","S3769","charcoal","NULL",54.267,11.05,TRUE
"241",1274,"LN",4980,60,"Hd-16973","RANSD","S5149","charcoal","Pomoideae, Acer sp., Fraxinus excelsior, Betula sp., Quercus sp., Prunus sp.",50.3636,8.95833,TRUE
"242",1275,"LN",4972,45,"Hd-16267","CAL","S1431","charcoal","Quercus sp.",51.4,9.4,TRUE
"243",1276,"LN",4965,40,"GrN-6345","KRL2","S2360","charcoal","NULL",50.38,7.49,TRUE
"244",1277,"LN",4960,75,"KN-3206","RES","S3464","charcoal","NULL",47.9132,9.67845,TRUE
"246",1279,"LN",4950,65,"KN-3205","RES","S3464","charcoal","NULL",47.9132,9.67845,TRUE
"247",1280,"LN",4945,40,"GrN-14785","ERGO","S1842","wood","Quercus sp.",48.56,12.16,TRUE
"248",1281,"LN",4940,50,"UtC-3618","CAL","S1431","animal bone","Equus sp.",51.4,9.4,TRUE
"249",1282,"LN",4921,50,"KN-4590","ORN1","S3163","charcoal","Quercus sp.",51.64,8.66,TRUE
"251",1284,"EN",4910,55,"KN-2405","SISU","S3769","wood","NULL",54.267,11.05,TRUE
"252",1285,"LN",4905,70,"Hd-17533","RANSD","S5149","charcoal","Pomoideae, Quercus sp., Fraxinus excelsior, Prunus sp., Ulmus sp.",50.3636,8.95833,TRUE
"253",1286,"LN",4900,185,"Hv-19722","EINB2","S1801","charcoal","NULL",51.82,9.86,TRUE
"254",1287,"LN",4890,90,"KN-4444","CAL","S1431","charcoal","Quercus sp.",51.4,9.4,TRUE
"256",1290,"LN",4890,40,"KIA-514","RANSD","S5149","animal bone","Equus sp.",50.3636,8.95833,TRUE
"257",1292,"LN",4870,35,"GrN-23314","STMN1","S3874","human bone","Homo sapiens",51.99,11.57,TRUE
"258",1293,"LN",4865,50,"GrN-23315","STMN1","S3874","human bone","Homo sapiens",51.99,11.57,TRUE
"259",1294,"LN",4865,40,"GrN-12555","ERGO","S1842","charcoal","NULL",48.56,12.16,TRUE
"260",1296,"LN",4860,27,"Hd-17025","RMKW1","S3476","bone","NULL",48.5839,12.5637,TRUE
"261",1297,"LN",4855,58,"Hd-15941","CAL","S1431","charcoal","Quercus sp.",51.4,9.4,TRUE
"262",1298,"LN",4850,190,"KN-3296","AAC1","S1003","NULL","NULL",50.7886,6.07437,TRUE
"263",1299,"LN",4850,30,"GrN-23309","KOTH5","S2429","bone","NULL",51.74,11.98,TRUE
"264",1300,"LN",4845,35,"GrN-12703","ERGO","S1842","wood","NULL",48.56,12.16,TRUE
"266",1302,"MN",4840,130,"Hv-373","DUMM1","S1757","charcoal","NULL",52.51,8.33,TRUE
"267",1303,"LN",4837,50,"KN-4658","CAL","S1431","animal bone","Bos sp.",51.4,9.4,TRUE
"268",1304,"LN",4835,300,"Hv-19717","EINB1","S1801","charcoal","NULL",51.82,9.86,TRUE
"269",1305,"LN",4824,61,"KN-4780","CAL","S1431","animal bone","Bos sp.",51.4,9.4,TRUE
"271",1307,"LN",4805,185,"Hv-19723","EINB2","S1801","charcoal","NULL",51.82,9.86,TRUE
"272",1308,"LN",4802,56,"Hd-16995","CAL","S1431","charcoal","Quercus sp.",51.4,9.4,TRUE
"274",1310,"MN",4800,85,"Hv-1221","DUMM1","S1757","wood","NULL",52.51,8.33,TRUE
"275",1311,"LN",4793,33,"Hd-17074","RMKW1","S3476","bone","NULL",48.5839,12.5637,TRUE
"276",1312,"MN",4790,90,"Bln-3690","ALS","S1071","bone","NULL",51.69,11.68,TRUE
"278",1314,"LN",4790,35,"GrN-23310","KOTH5","S2429","bone","NULL",51.74,11.98,TRUE
"280",1316,"LN",4771,32,"Hd-18799","GROSW1","S2093","human bone","Homo sapiens",51.73,11.69,TRUE
"281",1317,"LN",4766,31,"Hd-19374","PLTZ1","S3325","human bone","Homo sapiens",51.74,11.68,TRUE
"284",1320,"EN",4750,110,"KN-2270","SISU","S3769","charcoal","NULL",54.267,11.05,TRUE
"285",1321,"LN",4750,40,"GrN-12556","ERGO","S1842","charcoal","NULL",48.56,12.16,TRUE
"286",1322,"LN",4750,30,"KIA-3109","PRE1","S3382","human bone","Homo sapiens",51.7414,11.8149,TRUE
"287",1323,"LN",4746,60,"Bln-1553","WEIS1","S4214","human bone","Homo sapiens",51.19,11.96,TRUE
"288",1324,"LN",4745,40,"GrN-12557","ERGO","S1842","charcoal","NULL",48.56,12.16,TRUE
"289",1325,"LN",4740,160,"KN-3305","AAC1","S1003","NULL","NULL",50.7886,6.07437,TRUE
"290",1326,"MN",4740,70,"Hv-813","DUMM1","S1757","wood","NULL",52.51,8.33,TRUE
"291",1327,"LN",4735,50,"Bln-2041","BERN4","S1283","human bone","Homo sapiens",51.78,11.7,TRUE
"292",1328,"LN",4732,70,"H-7441","OBRS1","S3164","charcoal","NULL",48.79,12.64,TRUE
"293",1329,"LN",4732,34,"Hd-16863","RMKW1","S3476","bone","NULL",48.5839,12.5637,TRUE
"294",1330,"LN",4725,40,"GrN-12554","ERGO","S1842","charcoal","NULL",48.56,12.16,TRUE
"295",1331,"MN",4710,90,"Hv-349","DUMM1","S1757","wood","NULL",52.51,8.33,TRUE
"296",1332,"LN",4700,250,"KI-2552","RMKW1","S3476","charcoal","NULL",48.5839,12.5637,TRUE
"298",1334,"EN",4700,60,"KN-2426","SISU","S3769","wood","NULL",54.267,11.05,TRUE
"299",1335,"LN",4700,40,"KIA-3103","STMN1","S3874","human bone","Homo sapiens",51.99,11.57,TRUE
"300",1336,"LN",4692,30,"H-7410","RIKO1","S3471","charcoal","NULL",48.91,12.35,TRUE
"301",1337,"LN",4682,35,"H-7440","OBRS1","S3164","charcoal","NULL",48.79,12.64,TRUE
"302",1338,"EN",4680,60,"KN-1598","FUSU","S1966","NULL","NULL",54.42,9.4,TRUE
"303",1339,"LN",4668,53,"KN-4778","CALB","S1431","charcoal","NULL",51.4,9.4,TRUE
"304",1340,"LN",4665,60,"Bln-1354","WELU1","S4214","human bone","Homo sapiens",51.19,11.96,TRUE
"305",1341,"LN",4661,44,"KN-4909","WALF1","S4183","bone","NULL",51.35,12.08,TRUE
"307",1343,"LN",4653,46,"KN-4504","WARB2","S4193","human bone","Homo sapiens",51.48,9.14,TRUE
"308",1344,"LN",4650,160,"KN-3291","AAC1","S1003","NULL","NULL",50.7886,6.07437,TRUE
"309",1345,"LN",4642,100,"H-210/271","ASP2","S1135","charcoal","NULL",51.93,10.95,TRUE
