Latitude,Longitude,Site,Location,Country,Period,Lab Number,C14Age,C14SD,Material,Curve
25.8789,56.0236,Ras al-Jins 37,Arabia,Oman,ABT,Gif-9819,6070,70,,intcal13
25.3622,55.3911,Al Qassimiya,Arabia,U.A.E.,ABT,Ly-3953,5960,120,,intcal13
25.81,55.95,Jazirat al-Hamra 1,Arabia,U.A.E.,ABT,Hv-13192,5955,100,,intcal13
50.46,5.25,Trou al'Wesse,Europe,Belgium,Neolithic,Lv-1752,5950,70,,intcal13
47.5,20.5,Kisköre,Europe,Hungary,Neolithic,,5942,74,,intcal13
43.2,26.75,Ov?arovo,Europe,Bulgaria,Poljanica,,5908,101,,intcal13
25.5653,55.5533,al-Madar (Point 69),Arabia,U.A.E.,ABT,Ly-3280,5890,170,,intcal13
16,50,Wadi Shumlya,Arabia,Yemen,Early Neolithic,OS-16933,5870,45,,intcal13
22.6903,58.5469,Bir Bira 1,Arabia,Oman,ABT?,Hv-10921,5850,115,,intcal13
53.61,-2.03,Rocher Moss 2,Europe,Great Britain,Neolithic,Q-1190,5830,100,,intcal13
27.9,48.7,Abu Khamis,Arabia,Saudi Arabia,Obeid 4,UGa-315,5750,65,,intcal13
16.7022,42.1183,Qummah-3,Arabia,Yemen,Neolithic,Beta-23578,5730,90,,intcal13
23.5514,58.6428,Bandar Jissa 1,Arabia,Oman,ABT?,Hv-12975,5730,105,,intcal13
25.57,55.56,Ile d? Akab,Arabia,U.A.E.,ABT,Ly-5172,5695,90,,intcal13
23.6133,58.5933,Qurum North 1,Arabia,Oman,ABT?,Hv-14212,5580,160,,intcal13
53.22,-4.29,Capel Eithin,Europe,Great Britain,Neolithic,CAR-480,5520,80,,intcal13
23.0797,59.0547,Dibab 1,Arabia,Oman,ABT?,Bln-5270/II,5420,60,,intcal13
47.1,7.15,Twann,Europe,Switzerland,Cortaillod,B-2698,5200,90,,intcal13
46.78,6.78,Vallon-des-Vaux,Europe,Switzerland,Cortaillod,B-659,5180,120,,intcal13
47.23,8.78,Feldbach,Europe,Switzerland,Pfyn,UCLA-1809A,5170,70,,intcal13
22.9333,57.5333,Wadi Shab 1,Arabia,Oman,ABT?,GX-17881,5127,80,,intcal13
52.6,1.26,Eaton Heath,Europe,Great Britain,Mildenhall,BM-770,5095,49,,intcal13
58.99,-3.18,Maes Howe,Europe,Great Britain,Neolithic,SRR-791,5094,60,,intcal13
47.16,8.13,Schenkon,Europe,Switzerland,Cortaillod,B-881,4980,120,,intcal13
55.79,-6.26,Newton,Europe,Great Britain,Neolithic,GU-1952,4965,60,,intcal13
50.89,-0.02,Offham Hill,Europe,Great Britain,Neolithic,BM-1414,4925,80,,intcal13
47.82,13.45,See am Mondsee,Europe,Austria,LBK,,4820,82,,intcal13
50.85,0.34,Orsett,Europe,Great Britain,Neolithic,BM-1213,4741,113,,intcal13
50.79,0.21,Combe Hill,Europe,Great Britain,Neolithic,I-11613,4590,110,,intcal13
